0;1;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
34;Gipuzkoa;146.0;3969.0;819.0;4013.0;3836.0;1057.0;5157.0;1994.0;7666.0;5384.0;5704.0;1659.0;;297.0;2845.0;392.0;2938.0;3040.0;142.0;208956.0;1613.0;804.0;444.0;906.0;6819.0;248.0;2049.0;1533.0;726.0;4280.0;;494.0;2839.0;28265.0;792.0;2081.0;1010.0;2898.0;9433.0;5282.0;677.0;1374.0;465.0;2101.0;2797.0;458.0;421.0;896.0;1491.0;1705.0;2592.0;759.0
34;Girona;214.0;676.0;582.0;115.0;784.0;495.0;4179.0;64757.0;370.0;283.0;662.0;714.0;;222.0;542.0;158.0;601.0;565.0;335.0;601.0;391157.0;965.0;350.0;100.0;1539.0;689.0;604.0;5117.0;385.0;1360.0;;340.0;942.0;638.0;310.0;85.0;422.0;439.0;395.0;309.0;279.0;81.0;280.0;327.0;4653.0;631.0;114.0;964.0;126.0;143.0;611.0;128.0
34;Granada;345.0;2688.0;15456.0;163.0;1904.0;919.0;3466.0;1513.0;556.0;491.0;1553.0;439.0;541.0;1313.0;1045.0;398.0;661.0;9366.0;3046.0;399.0;441.0;295481.0;532.0;2473.0;438.0;11829.0;439.0;113.0;759.0;4651.0;467.0;2597.0;29364.0;410.0;236.0;161.0;1822.0;924.0;332.0;532.0;1515.0;368.0;2387.0;381.0;266.0;169.0;1190.0;1079.0;222.0;286.0;265.0;294.0
34;Guadalajara;540.0;3567.0;1289.0;60.0;2212.0;697.0;1054.0;650.0;244.0;585.0;2545.0;1899.0;;1030.0;1402.0;3720.0;1212.0;2244.0;205.0;367.0;252.0;660.0;103760.0;782.0;454.0;595.0;1043.0;115.0;600.0;37266.0;66.0;783.0;1407.0;185.0;614.0;430.0;467.0;1164.0;154.0;594.0;540.0;1332.0;227.0;1133.0;323.0;518.0;1749.0;2550.0;382.0;559.0;735.0;1195.0
34;Huelva;19.0;106.0;201.0;68.0;474.0;648.0;236.0;172.0;299.0;80.0;554.0;;58.0;116.0;220.0;23.0;471.0;2207.0;867.0;197.0;123.0;478.0;246.0;109820.0;75.0;290.0;152.0;109.0;55.0;732.0;;100.0;1583.0;159.0;37.0;;442.0;235.0;40.0;300.0;191.0;134.0;6600.0;;45.0;;208.0;178.0;347.0;102.0;40.0;83.0
34;Huesca;22.0;327.0;94.0;101.0;386.0;87.0;494.0;885.0;235.0;305.0;705.0;960.0;;20.0;228.0;31.0;91.0;393.0;45.0;482.0;762.0;89.0;131.0;294.0;53705.0;;129.0;832.0;43.0;437.0;;88.0;343.0;645.0;;118.0;95.0;118.0;233.0;59.0;55.0;52.0;115.0;282.0;4044.0;657.0;106.0;442.0;20.0;24.0;6901.0;
34;Jaén;689.0;1186.0;8959.0;16.0;769.0;493.0;639.0;662.0;25.0;127.0;475.0;207.0;143.0;1432.0;314.0;129.0;136.0;4509.0;4423.0;251.0;156.0;16997.0;467.0;2122.0;160.0;106652.0;201.0;106.0;29.0;3445.0;;789.0;17681.0;328.0;;85.0;286.0;269.0;53.0;206.0;186.0;306.0;2173.0;71.0;178.0;396.0;963.0;592.0;110.0;18.0;234.0;270.0
34;León;162.0;1861.0;344.0;536.0;16259.0;559.0;1696.0;509.0;705.0;1765.0;4335.0;409.0;;109.0;4676.0;222.0;692.0;2096.0;76.0;756.0;273.0;242.0;187.0;1393.0;83.0;167.0;264126.0;99.0;3499.0;4443.0;;327.0;1596.0;349.0;4292.0;2863.0;624.0;7385.0;595.0;2361.0;423.0;1020.0;386.0;220.0;291.0;45.0;372.0;901.0;3625.0;5081.0;173.0;738.0
34;Lleida;81.0;558.0;174.0;127.0;835.0;193.0;2044.0;12657.0;300.0;241.0;1441.0;1437.0;;21.0;272.0;192.0;207.0;414.0;112.0;336.0;6519.0;165.0;278.0;75.0;14574.0;107.0;317.0;91967.0;200.0;553.0;;215.0;346.0;540.0;121.0;227.0;290.0;169.0;360.0;139.0;554.0;157.0;188.0;425.0;35080.0;745.0;202.0;676.0;99.0;43.0;2789.0;178.0
34;Lugo;;289.0;103.0;15.0;4018.0;63.0;335.0;155.0;81.0;159.0;286.0;23.0;;;16861.0;35.0;137.0;459.0;;107.0;94.0;128.0;30.0;107.0;59.0;19.0;1563.0;;78937.0;1164.0;;98.0;288.0;98.0;2416.0;211.0;263.0;11457.0;57.0;155.0;245.0;90.0;76.0;69.0;76.0;26.0;134.0;289.0;253.0;245.0;116.0;123.0
